CASEID	v3	v1	v2	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v17_jp	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v84_tw1	v84_tw2	v84_tw3	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	s1_cjt	s2_cjt	cn_frcap	jp_frcap	tw_frcap	sex	age	marital	relig	topbot	urbrural	cn_reg	jp_reg	kr_reg	tw_reg	happy	happy_kr	educyrs	degree	inschl	wrkst	fullpart	wrkhrs	empcntrt	wrktype	whynowrk	isco88	cn_rinc	jp_rinc	kr_rinc	tw_rinc	cn_rincx	jp_rincx	kr_rincx	tw_rincx	hhdnum	cn_hinc	jp_hinc	kr_hinc	tw_hinc	rltvhinc	weight	spage	spedyrs	spdegr	spinschl	spwrkst	spfullpt	spwrkhrs	spempcnt	spwktype	spnowrk	spisco88	cn_spinc	jp_spinc	kr_spinc	tw_spinc	cn_sincx	jp_sincx	kr_sincx	tw_sincx	paedyrs	padegr	maedyrs	madegr
7666	411519	2008	4	3	3	1	 	4	1	2	2	3	2	3	2	1	2	 	4	2	2	7	2	2	2	2	3	3	2	3	3	2	3	2	3	4	 	 	 	 	 	1	1	2	1	1	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	1	1	 	1	1	1	1	1	1	 	2	2	1	1	1	1	 	2	2	1	1	5	 	5	5	5	2	2	6	2	2	3	4	4	2	2	2	2	2	2	1	1	2	1	1	1	2	2	5	2	2	 	 	2	2	25	5	 	5	3	 	 	 	9	 	 	12	3	0	1	1	45	1	3	 	4132	 	 	 	4	 	 	 	 	4	 	 	 	8	3	1.03440380096436	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	9	2
7667	411522	2008	4	2	2	2	2	1	1	1	4	2	2	2	2	2	2	 	2	4	7	1	1	2	2	7	7	1	1	4	3	3	3	2	3	4	 	 	 	 	 	3	2	1	1	2	2	2	1	2	2	 	1	2	2	2	2	2	 	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	5	 	5	5	4	1	1	6	2	2	5	2	2	3	2	1	1	2	2	2	1	1	1	1	1	5	5	5	2	2	 	 	 	2	41	1	 	10	4	 	 	 	9	2	 	11	2	0	5	 	 	 	 	4	 	 	 	 	 	 	 	 	 	2	 	 	 	4	2	.961635291576385	48	9	2	0	1	1	77	 	3	 	8232	 	 	 	 	 	 	 	 	0	0	0	0
7668	411526	2008	4	1	2	2	 	2	1	1	3	3	3	4	2	2	3	 	2	3	3	5	4	2	2	4	6	2	1	4	3	3	3	3	3	5	 	 	 	 	 	4	1	2	1	1	2	2	2	2	2	 	2	2	2	2	2	2	 	1	2	2	1	1	 	2	1	1	1	1	1	 	2	1	1	1	1	1	 	2	1	1	1	5	 	5	5	4	3	1	6	2	2	2	2	2	3	1	1	1	1	1	1	1	1	2	2	2	2	4	2	2	2	 	 	 	1	21	5	 	4	2	 	 	 	9	2	 	16	3	1	5	 	 	 	 	2	 	 	 	 	 	 	 	 	 	8	 	 	 	4	3	.711491525173187	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	3	12	3
7669	411527	2008	4	2	2	3	 	2	1	1	3	2	3	3	2	3	3	 	2	3	3	5	4	3	3	6	6	1	2	4	3	3	4	1	3	5	 	 	 	 	 	4	2	2	1	1	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	1	1	 	2	1	1	1	1	1	 	2	1	1	1	1	1	 	2	1	1	1	4	 	4	5	5	2	1	6	2	2	2	2	4	2	1	2	2	2	2	2	2	1	2	1	1	3	3	5	2	2	 	 	 	2	20	5	 	4	5	 	 	 	9	3	 	14	3	1	5	 	 	 	 	2	 	 	 	 	 	 	 	 	 	8	 	 	 	4	2	.744292736053467	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	6	1
7670	411529	2008	4	4	3	4	1	1	1	1	4	4	4	4	1	1	3	 	3	3	3	6	4	3	2	7	6	1	1	4	4	4	4	4	2	4	 	 	 	 	 	2	2	1	1	2	2	2	1	1	2	 	1	1	2	2	2	2	 	2	2	2	1	2	 	2	2	2	2	1	1	 	2	2	2	2	1	1	 	2	2	2	2	3	 	3	3	3	2	2	4	4	4	4	1	1	4	1	1	1	1	2	1	1	1	2	2	2	5	5	5	2	2	 	 	2	1	69	1	 	5	2	 	 	 	9	3	 	4	0	0	3	1	50	 	 	 	6111	 	 	 	2	 	 	 	 	7	 	 	 	8	1	.852173626422882	65	6	1	0	5	 	 	 	 	4	 	 	 	 	 	 	 	 	 	6	1	0	0
7671	411531	2008	4	4	3	3	1	1	1	1	2	2	3	4	2	1	2	 	2	2	2	7	3	2	2	4	4	1	1	4	3	3	3	2	2	5	 	 	 	 	 	7	2	2	1	2	2	2	1	2	2	 	2	2	2	1	2	2	 	2	2	2	1	1	 	1	1	1	1	1	1	 	1	1	1	1	1	1	 	1	1	1	1	3	 	5	5	5	2	1	5	3	3	3	4	4	4	2	1	1	1	1	2	1	1	1	1	1	5	5	5	2	2	 	 	 	2	68	1	 	5	4	 	 	 	9	2	 	6	1	0	5	 	 	 	 	4	 	 	 	 	 	 	 	 	 	15	 	 	 	6	3	.891460597515106	90	6	1	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	6	1	6	1
7672	411535	2008	4	3	2	3	 	2	1	1	3	3	3	3	2	3	4	 	3	3	4	6	2	2	2	3	5	2	2	3	4	2	3	2	2	3	1	1	2	2	2	5	1	2	1	2	2	2	1	1	2	 	2	1	2	1	2	2	 	2	2	2	1	1	 	2	2	1	1	1	1	 	2	2	1	1	1	1	 	2	2	1	1	3	 	4	3	3	2	2	5	6	5	5	3	2	4	1	1	1	1	1	1	1	2	1	1	1	4	4	4	2	2	 	 	3	1	32	5	 	3	3	 	 	 	9	3	 	14	4	0	1	1	44	1	3	 	3118	 	 	 	5	 	 	 	 	7	 	 	 	12	3	.757419347763062	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	6	1
7673	411538	2008	4	2	3	1	 	1	1	1	3	2	4	4	1	1	3	 	3	4	4	6	4	4	5	3	6	2	2	4	3	2	3	1	2	5	 	 	 	 	 	2	2	2	1	1	2	2	2	2	2	 	2	2	2	2	2	2	 	1	2	2	1	1	 	2	1	1	1	1	1	 	2	1	1	1	1	1	 	2	1	1	1	5	 	5	5	5	3	1	6	2	2	2	5	2	3	1	1	1	1	1	1	2	2	1	2	1	2	2	4	2	2	 	 	 	2	19	5	 	7	3	 	 	 	9	1	 	14	3	1	5	 	 	 	 	2	 	 	 	 	 	 	 	 	 	4	 	 	 	6	3	.744292736053467	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	9	2
7674	411543	2008	4	2	2	3	 	3	1	2	2	3	4	3	1	1	2	 	6	5	5	6	2	5	5	5	2	2	1	3	4	1	2	1	3	4	 	 	 	 	 	2	1	2	1	1	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	1	1	 	2	2	1	1	1	1	 	2	2	1	1	1	1	 	2	2	2	2	3	 	4	4	3	4	2	6	3	2	5	3	4	3	2	1	2	1	1	2	1	1	1	2	1	1	2	2	2	2	 	 	 	1	18	5	 	8	3	 	 	 	9	2	 	12	3	0	5	 	 	 	 	2	 	 	 	 	 	 	 	 	 	4	 	 	 	21	3	.988817274570465	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	3	12	3
7675	411544	2008	4	3	3	1	 	2	1	1	3	3	4	4	3	2	5	 	4	5	5	3	3	4	3	3	3	2	2	3	2	1	1	2	2	4	 	 	 	 	 	3	2	2	1	1	2	2	2	2	2	 	2	2	2	2	2	2	 	1	2	2	1	1	 	1	1	1	1	1	1	 	1	1	1	1	1	1	 	1	1	1	1	3	 	3	3	3	5	5	6	2	2	7	4	4	2	2	2	2	2	1	1	1	1	2	2	2	2	3	3	2	2	 	 	 	2	23	5	 	5	3	 	 	 	9	1	 	17	5	0	5	 	 	 	 	1	 	 	 	 	 	 	 	 	 	6	 	 	 	6	3	.744292736053467	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	1	6	1
